"Time","gitaly","gitlab-exporter","gitlab-shell","kas","migrations","minio","registry","sidekiq","toolbox","webservice","postgresql"
1713381720000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,5200000000,268435456
1713381780000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,5200000000,268435456
1713381840000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,5200000000,268435456
1713381900000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,5200000000,268435456
1713381960000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,5200000000,268435456
1713382020000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,5200000000,268435456
1713382080000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,5200000000,268435456
1713382140000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,5200000000,268435456
1713382200000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,5200000000,268435456
1713382260000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,4000000000,350000000,5200000000,268435456
1713382320000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,4000000000,350000000,5200000000,268435456
1713382380000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,4000000000,350000000,5200000000,268435456
1713382440000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,4000000000,350000000,5200000000,268435456
1713382500000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,4000000000,350000000,5200000000,268435456
1713382560000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,13000000000,268435456
1713382620000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,13000000000,268435456
1713382680000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,23400000000,268435456
1713382740000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,26000000000,268435456
1713382800000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,26000000000,268435456
1713382860000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,26000000000,268435456
1713382920000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,26000000000,268435456
1713382980000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,26000000000,268435456
1713383040000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,26000000000,268435456
1713383100000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,26000000000,268435456
1713383160000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,26000000000,268435456
1713383220000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,26000000000,268435456
1713383280000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,26000000000,268435456
1713383340000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,26000000000,268435456
1713383400000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,18200000000,268435456
1713383460000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,4000000000,350000000,18200000000,268435456
1713383520000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,4000000000,350000000,18200000000,268435456
1713383580000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,4000000000,350000000,23400000000,268435456
1713383640000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,4000000000,350000000,23400000000,268435456
1713383700000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,4000000000,350000000,23400000000,268435456
1713383760000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,4000000000,350000000,23400000000,268435456
1713383820000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,4000000000,350000000,23400000000,268435456
1713383880000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,4000000000,350000000,23400000000,268435456
1713383940000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,4000000000,350000000,18200000000,268435456
1713384000000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,18200000000,268435456
1713384060000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,18200000000,268435456
1713384120000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,18200000000,268435456
1713384180000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,13000000000,268435456
1713384240000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,23400000000,268435456
1713384300000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,23400000000,268435456
1713384360000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,23400000000,268435456
1713384420000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,23400000000,268435456
1713384480000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,23400000000,268435456
1713384540000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,23400000000,268435456
1713384600000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,23400000000,268435456
1713384660000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,4000000000,350000000,13000000000,268435456
1713384720000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,4000000000,350000000,13000000000,268435456
1713384780000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,4000000000,350000000,13000000000,268435456
1713384840000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,4000000000,350000000,10400000000,268435456
1713384900000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,4000000000,350000000,18200000000,268435456
1713384960000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,4000000000,350000000,18200000000,268435456
1713385020000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,4000000000,350000000,18200000000,268435456
1713385080000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,18200000000,268435456
1713385140000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,26000000000,268435456
1713385200000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,26000000000,268435456
1713385260000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,26000000000,268435456
1713385320000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,26000000000,268435456
1713385380000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,26000000000,268435456
1713385440000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,26000000000,268435456
1713385500000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,10400000000,268435456
1713385560000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,10400000000,268435456
1713385620000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,10400000000,268435456
1713385680000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,10400000000,268435456
1713385740000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,10400000000,268435456
1713385800000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,2000000000,350000000,5200000000,268435456
1713385860000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,4000000000,350000000,5200000000,268435456
1713385920000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,4000000000,350000000,5200000000,268435456
1713385980000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,4000000000,350000000,5200000000,268435456
1713386040000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,4000000000,350000000,7800000000,268435456
1713386100000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,4000000000,350000000,7800000000,268435456
1713386160000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,4000000000,350000000,7800000000,268435456
1713386220000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,4000000000,350000000,7800000000,268435456
1713386280000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,4000000000,350000000,7800000000,268435456
1713386340000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,4000000000,350000000,7800000000,268435456
1713386400000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,4000000000,350000000,7800000000,268435456
1713386460000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,4000000000,350000000,7800000000,268435456
1713386520000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,4000000000,350000000,7800000000,268435456
1713386580000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,4000000000,350000000,7800000000,268435456
1713386640000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,4000000000,350000000,7800000000,268435456
1713386700000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,4000000000,350000000,7800000000,268435456
1713386760000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,4000000000,350000000,7800000000,268435456
1713386820000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,4000000000,350000000,7800000000,268435456
1713386880000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,4000000000,350000000,10400000000,268435456
1713386940000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,4000000000,350000000,10400000000,268435456
1713387000000,209715200,100000000,12000000,200000000,209715200,134217728,67108864,4000000000,350000000,10400000000,268435456
