timestamp,certificates,gitaly,gitlab-exporter,gitlab-shell,gitlab-workhorse,kas,metrics,minio,postgresql,prometheus-server,prometheus-server-configmap-reload,redis,registry,sidekiq,toolbox,webservice,dependencies,configure
1727785680,,385605632,31735808,18173952,72437760,79962112,13606912,10301440,278188032,1637236736,4349952,56545280,27365376,1577521152,1191936,8200372224,,
1727785710,,377716736,32075776,18124800,73232384,79962112,12816384,10301440,292208640,1637236736,4349952,56545280,27430912,1601302528,1191936,8387964928,,
1727785740,,396226560,31731712,18124800,73564160,80621568,13426688,10301440,292208640,1637257216,4362240,56692736,27430912,1601302528,1191936,8697499648,,
1727785770,,358592512,32075776,18780160,73621504,80621568,13455360,10235904,288952320,1637285888,4362240,56639488,27426816,1597296640,1191936,8693489664,,
1727785800,,366366720,32075776,17727488,74428416,80621568,13860864,10235904,288952320,1637285888,4349952,56889344,27426816,1597296640,1191936,8746393600,,
1727785830,,366366720,31731712,18341888,67948544,80621568,13860864,10235904,283926528,1630744576,4349952,56811520,27598848,1578831872,1191936,8693506048,,
1727785860,,416608256,31731712,17915904,69820416,80621568,14594048,10301440,302256128,1630777344,4349952,57434112,27598848,1577148416,1191936,9189707776,,
1727785890,,417992704,31731712,17657856,68804608,80621568,14598144,10301440,303755264,1630793728,4354048,57061376,27602944,1598169088,1191936,9146712064,,
1727785920,,389484544,32071680,17657856,71241728,80625664,14962688,10301440,303738880,1630801920,4354048,56774656,27602944,1578147840,1191936,9258778624,,
1727785950,,390848512,32079872,17788928,70410240,80883712,14962688,10301440,331415552,1630801920,4354048,56774656,27230208,1590267904,1191936,9269334016,,
1727785980,,389246976,32079872,17821696,70836224,80621568,14962688,10301440,322686976,1630814208,4349952,56872960,27238400,1580687360,1191936,8989360128,,
